网站模块,信息项目,当前示例值,说明,文件位置,客户需填写内容
底部,品牌简介,致力于为全球客户提供专业、可靠、创新的解决方案,品牌描述 (20-30字),src/components/Footer.jsx,
底部,社交媒体-微信,#,微信链接,src/components/Footer.jsx,
底部,社交媒体-微博,#,微博链接,src/components/Footer.jsx,
底部,社交媒体-抖音,#,抖音链接,src/components/Footer.jsx,
底部,社交媒体-LinkedIn,#,LinkedIn 链接,src/components/Footer.jsx,
底部,隐私政策链接,#,隐私政策页面链接,src/components/Footer.jsx,
底部,使用条款链接,#,服务条款页面链接,src/components/Footer.jsx,
底部,网站地图链接,#,网站地图页面链接,src/components/Footer.jsx,
底部,Cookie政策链接,#,Cookie 政策链接,src/components/Footer.jsx,
底部,公司地址,北京市朝阳区科技园路1号,公司地址,src/components/Footer.jsx,
底部,公司电话,+86 10-1234-5678,公司电话,src/components/Footer.jsx,
底部,公司邮箱,contact@brand.com,公司邮箱,src/components/Footer.jsx,
底部,备案号,京ICP备20003721号-1,网站备案号,src/components/Footer.jsx,
底部,版权年份,2024,当前年份,src/components/Footer.jsx,
SEO与配置,页面标题,品牌展示官网 - 专业、科技、创新,浏览器标签标题,index.html 和 src/App.jsx,
SEO与配置,Meta Description,致力于为全球客户提供专业、可靠、创新的解决方案,搜索引擎显示描述,index.html 和 src/App.jsx,
SEO与配置,Meta Keywords,品牌,产品,解决方案,科技,创新,搜索关键词 (逗号分隔),index.html 和 src/App.jsx,
颜色配置,主色 (Primary),#2c3e50,深蓝色 (专业感),src/styles/global.css,
颜色配置,辅色 (Secondary),#3498db,天蓝色 (现代感),src/styles/global.css,
颜色配置,强调色 (Accent),#e74c3c,红色 (吸引力),src/styles/global.css,
